Região,Estado
Norte,Acre
Norte,Roraima
Norte,Pará
Norte,Tocantins
Norte,Rondônia
Nordeste,Ceará
Nordeste,Bahia
Nordeste,Maranhão
Nordeste,Piaui
Nordeste,Pernambuco
Nordeste,Alagoas
Nordeste,Sergipe
Nordeste,Paraiba
Nordeste,Rio Grande do Norte
Sudeste,Rio de Janeiro
Sudeste,São Paulo
Sudeste,Espirito Santo
Sudeste,Minas Gerais
Centro Oeste,Goias
Centro Oeste,Mato Grosso
Centro Oeste,Mato Grosso do Sul
Centro Oeste,Distrito Federal
Sul,Santa Catarina
Sul,Paraná
Sul,Rio Grande do Sul
Norte,Amapa
Norte,Amazonas