Categoria,Especie
Em Perigo,Adelpha atlantica
Em Perigo,Alopias superciliosus
Em Perigo,Aratinga solstitialis
Em Perigo,Anodorhynchus leari
Em Perigo,Arremonops conirostris
Em Perigo,Arrhopalites glabrofasciatus
Em Perigo,Anomaloglossus apiau
Em Perigo,Ancistrus minutus
Em Perigo,Aegla camargoi
Em Perigo,Aegla inermis
Em Perigo,Aegla itacolomiensis
Em Perigo,Aegla leachi
Em Perigo,Aegla manuinflata
Em Perigo,Aegla oblata
Em Perigo,Aegla obstipa
Em Perigo,Aegla violacea
Em Perigo,Aburria jacutinga
Em Perigo,Apostolepis arenaria
Em Perigo,Apostolepis gaboi
Em Perigo,Apostolepis quirogai
Em Perigo,Apostolepis striata
Em Perigo,Aguarunichthys tocantinsensis
Em Perigo,Alouatta ululata
Em Perigo,Aceratobasis mourei
Em Perigo,Ananteris infuscata
Em Perigo,Ameiva parecis
Em Perigo,Ameivula nativo
Em Perigo,Amphisbaena arda
Em Perigo,Amphisbaena frontalis
Em Perigo,Amphisbaena nigricauda
Em Perigo,Amphisbaena supernumeraria
Em Perigo,Amphisbaena uroxena
Em Perigo,Ancistrus cryptophthalmus
Em Perigo,Apareiodon davisi
Em Perigo,Amydetes bellorum
Criticamente em Perigo,Alopias vulpinus
Criticamente em Perigo,Antilophia bokermanni
Criticamente em Perigo,Aegla cavernicola
Criticamente em Perigo,Aegla leptochela
Criticamente em Perigo,Aegla microphthalma
Criticamente em Perigo,Amazoniscus leistikowi
Criticamente em Perigo,Arrhopalites gnaspinii
Criticamente em Perigo,Arrhopalites paranaensis
Criticamente em Perigo,Aegla charon
Criticamente em Perigo,Adelophryne maranguapensis
Criticamente em Perigo,Archisotoma arariboia
Criticamente em Perigo,Archisotoma catiae
Criticamente em Perigo,Aethiopella littoralis
Criticamente em Perigo,Agraphorura mariapetrae
Criticamente em Perigo,Arlea arenicola
Criticamente em Perigo,Arlesia intermedia
Criticamente em Perigo,Arlea psammophila
Criticamente em Perigo,Anomaloglossus tepequem
Criticamente em Perigo,Aegla renana
Criticamente em Perigo,Aegla brevipalma
Criticamente em Perigo,Aegla franca
Criticamente em Perigo,Aegla perobae
Criticamente em Perigo,Actinote zikani
Criticamente em Perigo,Anablepsoides cearensis
Vulnerável,Aburria cujubi
Vulnerável,Alectrurus tricolor
Vulnerável,Acherontides eleonorae
Vulnerável,Akodon mystax
Vulnerável,Archolaemus ferreirai
Vulnerável,Archolaemus santosi
Vulnerável,Arrhopalites alambariensis
Vulnerável,Arrhopalites amorimi
Vulnerável,Arrhopalites botuveraensis
Vulnerável,Arrhopalites heteroculatus
Vulnerável,Arrhopalites lawrencei
Vulnerável,Anabazenops dorsalis
Vulnerável,Ariadna aurea
Vulnerável,Arhysosage cactorum
Vulnerável,Altitatiayus campoi
Vulnerável,Altitatiayus dulceae
Vulnerável,Altitatiayus godinhorum
Vulnerável,Altitatiayus koikei
Vulnerável,Altitatiayus rotundatus
Vulnerável,Altitatiayus ruficollis
Vulnerável,Altitatiayus trifurcatus
Vulnerável,Achirus mucuri
Vulnerável,Ancistrus formoso
Vulnerável,Actinote quadra
Vulnerável,Anthus nattereri
Vulnerável,Alouatta belzebul
Vulnerável,Alouatta discolor
Vulnerável,Aceratobasis cornicauda
Vulnerável,Adebrotus lugoi
Vulnerável,Anumara forbesi
Vulnerável,Amazona rhodocorytha
Vulnerável,Amazona vinacea
Vulnerável,Acrobatornis fonsecai
Vulnerável,Amadonastur lacernulatus
Vulnerável,Amazona pretrei
Vulnerável,Aegla leptodactyla
Vulnerável,Aegla inconspicua
Vulnerável,Akodon mystax
Regionalmente Extinta,Anodorhynchus glaucus