Genero,Especie
Adelpha,Adelpha atlantica
Alopias,Alopias superciliosus
Alopias,Alopias vulpinus
Aburria,Aburria cujubi
Aratinga,Aratinga solstitialis
Alectrurus,Alectrurus tricolor
Antilophia,Antilophia bokermanni
Anodorhynchus,Anodorhynchus leari
Arrhopalites,Acherontides eleonorae
Aegla,Aegla cavernicola
Aegla,Aegla leptochela
Aegla,Aegla microphthalma
Amazoniscus,Amazoniscus leistikowi
Archolaemus,Archolaemus ferreirai
Archolaemus,Archolaemus santosi
Arrhopalites,Arrhopalites alambariensis
Arrhopalites,Arrhopalites amorimi
Arrhopalites,Arrhopalites botuveraensis
Arrhopalites,Arrhopalites gnaspinii
Arrhopalites,Arrhopalites heteroculatus
Arrhopalites,Arrhopalites lawrencei
Arrhopalites,Arrhopalites paranaensis
Anabazenops,Anabazenops dorsalis
Arremonops,Arremonops conirostris
Aegla,Aegla charon
Adelophryne,Adelophryne maranguapensis
Archisotoma,Archisotoma arariboia
Arrhopalites,Arrhopalites glabrofasciatus
Archisotoma,Archisotoma catiae
Arrhopalites,Aethiopella littoralis
Arrhopalites,Agraphorura mariapetrae
Arlea,Arlea arenicola
Arrhopalites,Arlesia intermedia
Arlea,Arlea psammophila
Ariadna,Ariadna aurea
Anomaloglossus,Anomaloglossus apiau
Anomaloglossus,Anomaloglossus tepequem
Ancistrus,Ancistrus minutus
Akodon,Akodon mystax
Aegla,Aegla renana
Aegla,Aegla brevipalma
Aegla,Aegla camargoi
Aegla,Aegla franca
Aegla,Aegla inconspicua
Aegla,Aegla inermis
Aegla,Aegla itacolomiensis
Aegla,Aegla leachi
Aegla,Aegla leptodactyla
Aegla,Aegla manuinflata
Aegla,Aegla oblata
Aegla,Aegla obstipa
Aegla,Aegla perobae
Aegla,Aegla violacea
Aburria,Aburria jacutinga
Acrobatornis,Acrobatornis fonsecai
Amadonastur,Amadonastur lacernulatus
Amazona,Amazona pretrei
Amazona,Amazona rhodocorytha
Amazona,Amazona vinacea
Anodorhynchus,Anodorhynchus glaucus
Anumara,Anumara forbesi
Anablepsoides,Anablepsoides cearensis
Apostolepis,Apostolepis arenaria
Apostolepis,Apostolepis gaboi
Apostolepis,Apostolepis quirogai
Apostolepis,Apostolepis striata
Actinote,Actinote quadra
Actinote,Actinote zikani
Aguarunichthys,Aguarunichthys tocantinsensis
Anthus,Anthus nattereri
Alouatta,Alouatta belzebul
Alouatta,Alouatta discolor
Alouatta,Alouatta ululata
Aceratobasis,Aceratobasis cornicauda
Aceratobasis,Aceratobasis mourei
Adebrotus,Adebrotus lugoi
Arawacus,Arawacus aethesa
Ananteris,Ananteris infuscata
Ameiva,Ameiva parecis
Ameivula,Ameivula nativo
Amphisbaena,Amphisbaena arda
Amphisbaena,Amphisbaena frontalis
Amphisbaena,Amphisbaena nigricauda
Amphisbaena,Amphisbaena supernumeraria
Amphisbaena,Amphisbaena uroxena
Ancistrus,Ancistrus cryptophthalmus
Ancistrus,Ancistrus formoso
Apareiodon,Apareiodon davisi
Arhysosage,Arhysosage cactorum
Altitatiayus,Altitatiayus campoi
Altitatiayus,Altitatiayus dulceae
Altitatiayus,Altitatiayus godinhorum
Altitatiayus,Altitatiayus koikei
Altitatiayus,Altitatiayus rotundatus
Altitatiayus,Altitatiayus ruficollis
Altitatiayus,Altitatiayus trifurcatus
Amydetes,Amydetes bellorum
Achirus,Achirus mucuri