Ordem,Familia
Lepidoptera,Nymphalidae
Lepidoptera,Lycaenidae
Lamniformes,Alopiidae
Galliformes,Cracidae
Psittaciformes,Psittacidae
Passeriformes,Tyrannidae
Passeriformes,Pipridae
Passeriformes,Furnariidae
Passeriformes,Icteridae
Passeriformes,Motacillidae
Symphypleona,Arrhopalitidae
Decapoda,Aeglidae
Isopoda,Scleropactidae
Gymnotiformes,Sternopygidae
Anura,Eleutherodactylidae
Anura,Aromobatidae
Collembola,Isotomidae
Collembola,Arrhopalitidae
Entomobryomorpha,Isotomidae
Araneae,Segestriidae
Siluriformes,Loricariidae
Rodentia,Cricetidae
Accipitriformes,Accipitridae
Cyprinodontiformes,Rivulidae
Squamata,Dipsadidae
Squamata,Teiidae
Squamata,Amphisbaenidae
Primates,Atelidae
Zygoptera,Coenagrionidae
Ephemeroptera,Baetidae
Scorpiones,Buthidae
Characiformes,Parodontidae
Hymenoptera,Andrenidae
Coleoptera,Lucanidae
Coleoptera,Lampyridae
Pleuronectiformes,Achiridae