Especie,Autor
Adelpha atlantica,Willmott' 2003
Alopias superciliosus,Lowe' 1841
Alopias vulpinus,(Bonnaterre' 1788)
Aburria cujubi,(Pelzeln' 1858)
Aratinga solstitialis,(Linnaeus' 1766)
Alectrurus tricolor,(Vieillot' 1816)
Antilophia bokermanni,Coelho & Silva 1998
Anodorhynchus leari,Bonaparte' 1856
Acherontides eleonorae,Palacios-Vargas & Gnaspini-Netto' 1992
Aegla cavernicola,Türkay' 1972
Aegla leptochela,Bond-Buckup & Buckup' 1994
Aegla microphthalma,Bond-Buckup & Buckup' 1994
Amazoniscus leistikowi,Campos-Filho' Araujo & Taiti' 2014
Archolaemus ferreirai,Vari' de Santana & Wosiacki' 2012
Archolaemus santosi,Vari' de Santana & Wosiacki' 2012
Arrhopalites alambariensis,Zeppelini' 2006
Arrhopalites amorimi,Palacios-Vargas & Zeppelini' 1995
Arrhopalites botuveraensis,Zeppelini' 2006
Arrhopalites gnaspinii,(Palacios-Vargas & Zeppelini' 1995)
Arrhopalites heteroculatus,Zeppelini' 2006
Arrhopalites lawrencei,Palacios-Vargas & Zeppelini' 1995
Arrhopalites paranaensis,Zeppelini' 2006
Anabazenops dorsalis,(Sclater & Salvin' 1880)
Arremonops conirostris,(Bonaparte' 1850)
Aegla charon,Bueno & Moraes' 2017
Adelophryne maranguapensis,Hoogmoed' Borges & Cascon' 1994
Archisotoma arariboia,Neves & Mendonça' 2014
Arrhopalites glabrofasciatus,Zeppelini' Brito & Lima' 2018
Archisotoma catiae,Abrantes & Mendonça' 2007
Aethiopella littoralis,Fernandes & Mendonça' 2002
Agraphorura mariapetrae,(Thibaud' 1993)
Arlea arenicola,Abrantes & Mendonça' 2005
Arlesia intermedia,Fernandes & Mendonça' 2004
Arlea psammophila,Mendonça' Abrantes & Fernandes' 2006
Ariadna aurea,Giroti & Brescovit' 2018
Anomaloglossus apiau,Fouquet' Souza' Nunes' Kok' Curcio' Carvalho' Grant & Rodrigues' 2015
Anomaloglossus tepequem,Fouquet' Souza' Nunes' Kok' Curcio' Carvalho' Grant & Rodrigues' 2015
Ancistrus minutus,Fisch-Muller' Mazzoni & Weber' 2001
Akodon mystax,Hershkovitz' 1998
Aegla renana,Bond-Buckup & Santos' 2010
Aegla brevipalma,Bond-Buckup & Santos' 2012
Aegla camargoi,Buckup & Rossi' 1977
Aegla franca,Schmitt' 1942
Aegla inconspicua,Bond-Buckup & Buckup' 1994
Aegla inermis,Bond-Buckup & Buckup' 1994
Aegla itacolomiensis,Bond-Buckup & Buckup' 1994
Aegla leachi,Bond-Buckup & Santos' 2012
Aegla leptodactyla,Buckup & Rossi' 1977
Aegla manuinflata,Bond-Buckup & Santos' 2009
Aegla oblata,Bond-Buckup & Santos' 2012
Aegla obstipa,Bond-Buckup & Buckup' 1994
Aegla perobae,Hebling & Rodrigues' 1977
Aegla violacea,Bond-Buckup & Buckup' 1994
Aburria jacutinga,(Spix' 1825)
Acrobatornis fonsecai,Pacheco' Whitney & Gonzaga' 1996
Amadonastur lacernulatus,(Temminck' 1827)
Amazona pretrei,(Temminck' 1830)
Amazona rhodocorytha,(Salvadori' 1890)
Amazona vinacea,(Kuhl' 1820)
Anodorhynchus glaucus,(Vieillot' 1816)
Anumara forbesi,(Sclater' 1886)
Anablepsoides cearensis,(Costa & Vono' 2009)
Apostolepis arenaria,Rodrigues' 1992
Apostolepis gaboi,Rodrigues' 1992
Apostolepis quirogai,Giraudo & Scrocchi' 1998
Apostolepis striata,Lema' 2004
Actinote quadra,(Schaus' 1902)
Actinote zikani,D´Almeida' 1951
Aguarunichthys tocantinsensis,Zuanon' Rapp Py-Daniel & Jégu' 1993
Anthus nattereri,Sclater' 1878
Alouatta belzebul,(Linnaeus' 1766)
Alouatta discolor,(Spix' 1823)
Alouatta ululata,Elliot' 1912
Aceratobasis cornicauda,(Calvert' 1909)
Aceratobasis mourei,(Santos' 1970)
Adebrotus lugoi,Salles' 2010
Arawacus aethesa,(Hewitson' 1867)
Ananteris infuscata,Lourenço' Giupponi & Leguin' 2013
Ameiva parecis,(Colli' Costa' Garda' Kopp' Mesquita' Péres' Valdujo' Vieira & Wiederhecker' 2003)
Ameivula nativo,(Rocha' Bergallo & Peccinini-Seale' 1997)
Amphisbaena arda,Rodrigues' 2003
Amphisbaena frontalis,Vanzolini' 1991
Amphisbaena nigricauda,Gans' 1966
Amphisbaena supernumeraria,Mott' Rodrigues & Santos' 2009
Amphisbaena uroxena,Mott' Rodrigues' Freitas & Silva' 2008
Ancistrus cryptophthalmus,Reis' 1987
Ancistrus formoso,Sabino & Trajano' 1997
Apareiodon davisi,Fowler' 1941
Arhysosage cactorum,Moure' 1999
Altitatiayus campoi,Grossi & Koike' 2011
Altitatiayus dulceae,(Bomans & Arnaud' 2002)
Altitatiayus godinhorum,(Bomans & Arnaud' 1996)
Altitatiayus koikei,Grossi' 2010
Altitatiayus rotundatus,(Boileau' 1902)
Altitatiayus ruficollis,(Luederwaldt' 1931)
Altitatiayus trifurcatus,(Grossi & Racca-Filho' 2004)
Amydetes bellorum,Silveira e Mermudes' 2014
Achirus mucuri,Ramos' Ramos & Lopes' 2009