Numero da Região,Especie
1,Anabazenops dorsalis
2,Arremonops conirostris
2,Anomaloglossus apiau
2,Anomaloglossus tepequem
3,Alopias superciliosus
3,Alopias vulpinus
3,Aguarunichthys tocantinsensis
3,Aburria cujubi
3,Alouatta belzebul
3,Alouatta discolor
4,Aburria cujubi
4,Alectrurus tricolor
4,Alouatta belzebul
5,Aburria cujubi
5,Archolaemus santosi
5,Anabazenops dorsalis
5,Ameiva parecis
6,Alopias superciliosus
6,Alopias vulpinus
6,Antilophia bokermanni
6,Anablepsoides cearensis
6,Alouatta ululata
6,Apareiodon davisi
7,Alopias superciliosus
7,Alopias vulpinus
7,Anodorhynchus leari
7,Ariadna aurea
7,Acrobatornis fonsecai
7,Amadonastur lacernulatus
7,Amazona rhodocorytha
7,Apostolepis arenaria
7,Arawacus aethesa
8,Alopias superciliosus
8,Alopias vulpinus
8,Aburria cujubi
8,Alouatta belzebul
8,Alouatta ululata
9,Alopias superciliosus
9,Alopias vulpinus
9,Alouatta ululata
10,Alopias superciliosus
10,Alopias vulpinus
10,Anumara forbesi
10,Alouatta belzebul
10,Adebrotus lugoi
10,Amphisbaena supernumeraria
10,Apareiodon davisi
11,Alopias superciliosus
11,Alopias vulpinus
11,Amazona rhodocorytha
11,Anumara forbesi
12,Alopias superciliosus
12,Alopias vulpinus
12,Amazona rhodocorytha
13,Alopias superciliosus
13,Alopias vulpinus
13,Alouatta belzebul
13,Apareiodon davisi
14,Alopias superciliosus
14,Alopias vulpinus
14,Alouatta belzebul
14,Apareiodon davisi
15,Adelpha atlantica
15,Alopias superciliosus
15,Alopias vulpinus
15,Archisotoma arariboia
15,Archisotoma catiae
15,Aethiopella littoralis
15,Agraphorura mariapetrae
15,Arlea arenicola
15,Arlesia intermedia
15,Arlea psammophila
15,Amadonastur lacernulatus
15,Amazona rhodocorytha
15,Actinote quadra
15,Altitatiayus dulceae
15,Altitatiayus godinhorum
15,Altitatiayus rotundatus
15,Altitatiayus ruficollis
15,Amydetes bellorum
16,Alopias superciliosus
16,Alopias vulpinus
16,Alectrurus tricolor
16,Acherontides eleonorae
16,Aegla cavernicola
16,Aegla leptochela
16,Aegla microphthalma
16,Arrhopalites alambariensis
16,Arrhopalites amorimi
16,Arrhopalites gnaspinii
16,Arrhopalites heteroculatus
16,Arrhopalites lawrencei
16,Aegla charon
16,Aburria jacutinga
16,Amadonastur lacernulatus
16,Amazona vinacea
16,Actinote zikani
16,Altitatiayus campoi
17,Alopias superciliosus
17,Alopias vulpinus
17,Amadonastur lacernulatus
17,Amazona rhodocorytha
17,Amazona vinacea
17,Amazona rhodocorytha
17,Actinote quadra
17,Aceratobasis cornicauda
17,Aceratobasis mourei
17,Adebrotus lugoi
17,Arawacus aethesa
18,Alectrurus tricolor
18,Arrhopalites glabrofasciatus
18,Aburria jacutinga
18,Acrobatornis fonsecai
18,Amadonastur lacernulatus
18,Amazona rhodocorytha
18,Amazona vinacea
18,Amazona rhodocorytha
18,Actinote quadra
18,Anthus nattereri
18,Ananteris infuscata
18,Altitatiayus koikei
18,Altitatiayus trifurcatus
19,Aburria cujubi
19,Alectrurus tricolor
19,Ancistrus minutus
19,Ancistrus cryptophthalmus
20,Aburria cujubi
20,Anabazenops dorsalis
20,Alouatta belzebul
20,Alouatta discolor
20,Ameiva parecis
21,Aburria cujubi
21,Alectrurus tricolor
21,Aburria jacutinga
21,Ancistrus formoso
22,Alectrurus tricolor
23,Alopias superciliosus
23,Alopias vulpinus
23,Arrhopalites botuveraensis
23,Aegla brevipalma
23,Aegla camargoi
23,Aegla leachi
23,Aegla manuinflata
23,Aburria jacutinga
23,Amadonastur lacernulatus
23,Amazona pretrei
23,Anodorhynchus glaucus
23,Anthus nattereri
24,Alopias superciliosus
24,Alopias vulpinus
24,Alectrurus tricolor
24,Arrhopalites paranaensis
24,Aburria jacutinga
24,Amadonastur lacernulatus
24,Amazona vinacea
25,Alopias superciliosus
25,Alopias vulpinus
25,Alectrurus tricolor
25,Aegla camargoi
25,Aegla inconspicua
25,Aegla inermis
25,Aegla itacolomiensis
25,Aegla manuinflata
25,Aegla obstipa
25,Aegla violacea
25,Aburria jacutinga
25,Amazona pretrei
25,Anodorhynchus glaucus
25,Apostolepis quirogai
25,Anthus nattereri
25,Arhysosage cactorum
26,Alopias superciliosus
26,Alopias vulpinus
27,Aburria cujubi
0,Akodon mystax
0,Aegla renana
0,Aegla franca
0,Aegla leptodactyla
0,Aegla perobae
0,Apostolepis gaboi
0,Apostolepis striata
0,Ameivula nativo
0,Amphisbaena arda
0,Amphisbaena frontalis
0,Amphisbaena nigricauda
0,Achirus mucuri